date,equity,n_positions,cash_weight
2026-05-31,0.995813774,15,1.1102230246251563e-16
2026-06-01,0.981420834,15,1.1102230246251565e-16
2026-06-02,0.9853435551,15,1.1102230246251565e-16
2026-06-03,0.9843109462,15,1.1102230246251565e-16
2026-06-04,0.9886726429,15,1.1102230246251563e-16
2026-06-05,0.979797637,15,1.1102230246251565e-16
2026-06-08,0.9556235103,15,1.1102230246251565e-16
2026-06-09,0.9705706869,15,1.1102230246251565e-16
2026-06-10,0.9546779142,15,1.1102230246251565e-16
2026-06-11,0.9531913832,15,1.1102230246251565e-16
2026-06-12,0.9790845987,15,1.1102230246251565e-16
2026-06-15,0.9934697275,15,1.1102230246251565e-16
