ticker,score,rebalance_date
NATIONALUM,1.7475003360592556,2026-05-31
HINDCOPPER,1.5950928669468922,2026-05-31
MCX,1.4121470805956813,2026-05-31
VEDL,0.9310147500447912,2026-05-31
RBLBANK,0.7426911210311329,2026-05-31
BHARATFORG,0.7362797817708968,2026-05-31
LAURUSLABS,0.7360362479023841,2026-05-31
GESHIP,0.7352367953453087,2026-05-31
ASHOKLEY,0.7326843969183654,2026-05-31
CUMMINSIND,0.7170080712624489,2026-05-31
ABCAPITAL,0.6886751047994868,2026-05-31
AUBANK,0.6228751495699141,2026-05-31
DELHIVERY,0.6201286054177593,2026-05-31
NAVINFLUOR,0.6077243485239221,2026-05-31
CANBK,0.5599407298066721,2026-05-31
GLENMARK,0.5102888920936486,2026-05-31
MOTHERSON,0.4876881409154801,2026-05-31
UNIONBANK,0.48767168819287066,2026-05-31
MUTHOOTFIN,0.47165600615867986,2026-05-31
POLYCAB,0.4507695811905472,2026-05-31
SAIL,0.4477593143623022,2026-05-31
CUB,0.44345597114987845,2026-05-31
MFSL,0.437806341403834,2026-05-31
JINDALSTEL,0.42865647932398887,2026-05-31
ADANIPOWER,0.42702763733523086,2026-05-31
BANKINDIA,0.42470789239269346,2026-05-31
JBCHEPHARM,0.40831639624719807,2026-05-31
FACT,0.3904119118570417,2026-05-31
FEDERALBNK,0.3889801666849293,2026-05-31
TORNTPHARM,0.36404210228631717,2026-05-31
TVSMOTOR,0.3638136347171954,2026-05-31
JSL,0.35695020058308224,2026-05-31
NMDC,0.3336096974279237,2026-05-31
APLAPOLLO,0.32005127910184883,2026-05-31
M&MFIN,0.30758485438850247,2026-05-31
SOLARINDS,0.30453357972794093,2026-05-31
INDIACEM,0.2963776202630475,2026-05-31
FORTIS,0.2957435346857282,2026-05-31
CGPOWER,0.2949887140823291,2026-05-31
IDEA,0.2928870793757623,2026-05-31
IOC,0.2742836055339579,2026-05-31
ASTRAL,0.2731662637600305,2026-05-31
ABB,0.2723747086292396,2026-05-31
GRANULES,0.2690868466376226,2026-05-31
HDFCAMC,0.2645784892239691,2026-05-31
CANFINHOME,0.26063793086777687,2026-05-31
BANKBARODA,0.23276696264223684,2026-05-31
BHEL,0.22804203440391047,2026-05-31
SUPREMEIND,0.22159030696409365,2026-05-31
MRF,0.20017785395766063,2026-05-31
PAYTM,0.19757097831007608,2026-05-31
BIOCON,0.1916314971882116,2026-05-31
AUROPHARMA,0.1862959715144068,2026-05-31
PNB,0.18601490349859895,2026-05-31
METROPOLIS,0.17814892734028476,2026-05-31
LUPIN,0.17484051644347764,2026-05-31
SIEMENS,0.16072306512952328,2026-05-31
PRESTIGE,0.15767145039458663,2026-05-31
BOSCHLTD,0.1538068439343263,2026-05-31
GLAND,0.1517033014854996,2026-05-31
IPCALAB,0.14998831145477443,2026-05-31
INDUSTOWER,0.1438014816895763,2026-05-31
MARICO,0.12062244146225631,2026-05-31
ALKEM,0.11792136333424819,2026-05-31
TATAPOWER,0.10446046220555294,2026-05-31
PVRINOX,0.10207085092344603,2026-05-31
CESC,0.09763017998695389,2026-05-31
YESBANK,0.09493297341431517,2026-05-31
FINPIPE,0.08440829236421243,2026-05-31
IDFCFIRSTB,0.08419333130230444,2026-05-31
INDIAMART,0.08065632555370206,2026-05-31
LALPATHLAB,0.07808063021172029,2026-05-31
